Model,Description,Test Accuracy,Top-3 Accuracy,Val Accuracy,Time (min),Epochs
bilstm_baseline,BiLSTM Baseline (Simple),63.99%,90.08%,65.49%,56.1,6
bilstm_cnn_advanced,BiLSTM + CNN (Advanced - YOUR 62.6% MODEL),66.24%,91.08%,67.51%,88.5,8
